"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"216379_x_at",4.75942066666666,10.237875030303,24.2164047185195,2.23707591137788e-11,6.80888383383323e-07,15.1734960348046
"210328_at",-4.36123533333333,9.4477903030303,-23.3966547450792,3.32473147969102e-11,6.80888383383323e-07,14.9075843538418
"215363_x_at",-3.16779307777778,8.55764433333333,-21.5600745180488,8.49754678304705e-11,1.16017006228941e-06,14.2511451974452
"215712_s_at",-2.11712437777778,8.31887751515152,-20.5838478801375,1.4442099328628e-10,1.29830043715621e-06,13.8640720799857
"205860_x_at",-2.42350964444445,7.73829248484848,-20.4171582687738,1.58487809413829e-10,1.29830043715621e-06,13.7950809462375
"204304_s_at",3.64253487777778,7.78404606060606,19.4176023487016,2.81065586650628e-10,1.46631490012071e-06,13.3623930590449
"217771_at",4.04350552222223,8.40774966666667,19.3896724440053,2.8571475330788e-10,1.46631490012071e-06,13.3498172685967
"220801_s_at",-4.1354512,9.78083945454545,-19.3856175347011,2.86396621034832e-10,1.46631490012071e-06,13.3479892269853
"209771_x_at",4.69518677777779,10.4321316969697,18.9023472453282,3.81798216482916e-10,1.73756368321375e-06,13.1259325593581
"209608_s_at",-2.0284697888889,9.20379833333334,-18.2571250269772,5.66644789094318e-10,2.32092039165142e-06,12.8160206715198
"242817_at",-4.88908151111111,8.922928,-17.8817857070723,7.17291557248087e-10,2.67086771757494e-06,12.6283069212728
"1559573_at",-4.06526013333333,8.47066115151515,-17.504581229617,9.13340994730352e-10,3.11746115026337e-06,12.4338896401942
"207544_s_at",-3.7124670222222,9.57443387878787,-16.9895155264134,1.28049194186455e-09,3.79330752607714e-06,12.1586619663452
"209368_at",-3.10928173333335,9.44300612121213,-16.9707643250153,1.29657231292463e-09,3.79330752607714e-06,12.1484230051233
"1553977_a_at",-2.76187766666667,9.14282672727273,-16.6902970602735,1.56506757301306e-09,4.27357351486947e-06,11.9933859547734
"223699_at",-3.9532824,9.85668678787879,-16.3580017759963,1.9635161940901e-09,4.91852053897202e-06,11.805011591317
"209875_s_at",5.765192,9.91028981818182,16.2475506087929,2.11926116939004e-09,4.91852053897202e-06,11.7412434118504
"207345_at",-2.07768803333333,8.75760784848485,-16.2190980772061,2.16151199251682e-09,4.91852053897202e-06,11.7247216713273
"206606_at",-3.30805013333334,10.3068208484848,-15.7281963819198,3.05417410196688e-09,6.28557141553323e-06,11.4334068133226
"205363_at",-3.4146233111111,8.9419746060606,-15.7147474402078,3.08366512595728e-09,6.28557141553323e-06,11.4252561088645
"223702_x_at",-2.85957524444444,8.94651418181818,-15.653179075649,3.22266167939153e-09,6.28557141553323e-06,11.3878247959989
"205476_at",3.94424238888887,8.56002239393939,15.1349339351675,4.70080112846263e-09,8.75182333730458e-06,11.0649115167522
"208951_at",-1.82517113333334,9.01538109090909,-14.8922343893634,5.63274709664534e-09,1.00309429709346e-05,10.9087233205876
"217047_s_at",-2.23985773333335,9.73173618181819,-14.6595011207056,6.71647669321872e-09,1.14625070365644e-05,10.7558643297339
"201319_at",1.13021155555556,11.0674903030303,14.4239611488207,8.04655042603283e-09,1.31831463559951e-05,10.5980051514566
"211303_x_at",-1.86653104444444,7.48654557575758,-13.937214896727,1.17893278377765e-08,1.82331814913914e-05,10.2613585321065
"209735_at",-2.17191322222223,7.66291727272727,-13.9129982185271,1.20192363160128e-08,1.82331814913914e-05,10.2442321399505
"206930_at",-3.24731635555555,9.62855266666666,-13.8123283044183,1.30282476210505e-08,1.90579997968074e-05,10.1726443716243
"1555175_a_at",-3.06998966666668,9.15891115151516,-13.6862091900994,1.44234219367621e-08,2.03713427278566e-05,10.0820577292759
"201302_at",2.29493688888889,12.3227975757576,13.5323951890043,1.63473135671022e-08,2.23189872131646e-05,9.97020171112496
"206938_at",-2.52431651111111,8.26075584848485,-13.3950633383829,1.83005341083779e-08,2.41543717579101e-05,9.86903224861364
"210987_x_at",2.44958466666666,9.62683357575757,13.3579239335174,1.88710636551948e-08,2.41543717579101e-05,9.84145915358109
"211569_s_at",-2.22073023333333,9.01338566666667,-13.2448162028251,2.07302223401607e-08,2.5729975055474e-05,9.75691991020193
"224579_at",2.31445214444444,7.36513075757576,13.00893717226,2.5275852949987e-08,3.04492253228975e-05,9.57783728930623
"224299_x_at",-2.92105986666667,9.12886818181818,-12.863506905564,2.86074632035573e-08,3.28825920917989e-05,9.46551444042131
"202025_x_at",-1.70735482222223,10.5506901818182,-12.8515634302106,2.89014213067887e-08,3.28825920917989e-05,9.45622416729082
"209154_at",3.562398,10.3746858181818,12.8031034938392,3.01280387363278e-08,3.33517388811149e-05,9.41842621792156
"221731_x_at",3.24622186666666,7.66326339393939,12.6848770347915,3.33628791262252e-08,3.59607938455542e-05,9.32551168588577
"223979_x_at",-2.71172457777778,9.79335903030303,-12.6504342938443,3.43744045200635e-08,3.6101057300956e-05,9.2982548031315
"201899_s_at",1.32712866666666,9.13494096969697,12.5258420361067,3.83193011792583e-08,3.8949875542731e-05,9.19893937116688
"226238_at",-1.91469606666666,8.63136293939394,-12.5060756623202,3.89888644071381e-08,3.8949875542731e-05,9.18307912403738
"201347_x_at",-1.93858579999999,11.0779513030303,-12.4642334200071,4.04482569361602e-08,3.94457179963853e-05,9.14941087011761
"209978_s_at",-2.04372333333331,13.5088581818182,-12.428507556955,4.17410251453977e-08,3.97597825332639e-05,9.12056199594209
"205942_s_at",-2.85049368888889,8.66716927272727,-12.3238389701217,4.57921367505476e-08,4.26272756628563e-05,9.03549578937568
"207883_s_at",-2.5957400111111,8.78184845454545,-12.2416068025819,4.92724445599911e-08,4.48477790385039e-05,8.9680883444849
"221667_s_at",2.13482013333334,8.74725545454546,12.1500050317913,5.34885413195884e-08,4.59936933163153e-05,8.89239723874016
"211028_s_at",-2.50478517777778,9.89501906060606,-12.1430694321993,5.38232530142337e-08,4.59936933163153e-05,8.88664023357854
"225826_at",-1.9420756,8.65190003030303,-12.1414820939829,5.3900175277305e-08,4.59936933163153e-05,8.88532211986663
"211231_x_at",-2.01946522222222,9.79721715151515,-12.0157946887984,6.03843991372345e-08,5.04751960053467e-05,8.78033609029037
"218544_s_at",-2.5342664,10.2909740606061,-11.9555365609475,6.37874210492894e-08,5.22533795751569e-05,8.72956794574457
"209340_at",-2.36390913333333,10.8779808484848,-11.8758620939277,6.86082606480394e-08,5.3762834493016e-05,8.66200397669974
"200639_s_at",1.75686033333333,11.0185718787879,11.8385282274605,7.10011980022526e-08,5.3762834493016e-05,8.63017225940366
"204462_s_at",-1.96222557777778,8.4325583939394,-11.8270619829029,7.17540896056831e-08,5.3762834493016e-05,8.62037365198835
"240110_at",-2.84601924444445,9.18767266666667,-11.8182208776211,7.23404903002364e-08,5.3762834493016e-05,8.61281123972968
"212314_at",3.26778426666668,8.10826848484849,11.7751986902185,7.52687467424067e-08,5.3762834493016e-05,8.57592232187524
"220892_s_at",-2.44568669999999,8.96875506060606,-11.7698837114169,7.56392870311281e-08,5.3762834493016e-05,8.57135477278153
"203979_at",-1.5747904888889,10.8981716969697,-11.7637353135889,7.60703865173711e-08,5.3762834493016e-05,8.56606818028122
"201522_x_at",1.13727233333333,10.0264776363636,11.7628756642954,7.61308723502753e-08,5.3762834493016e-05,8.56532878420489
"231156_at",-2.91881242222222,8.2158733030303,-11.711750413031,7.98230888563627e-08,5.54148118045383e-05,8.52124840369218
"211110_s_at",-1.87250195555556,8.7541503030303,-11.6866750187018,8.17042117413482e-08,5.57753801452314e-05,8.49955124285341
"226030_at",-3.10332137777777,11.2687271515151,-11.6433274347164,8.50698215890831e-08,5.65648507531003e-05,8.46192337412275
"220116_at",-3.30163431111111,7.69534124242425,-11.6363836072045,8.56227140968339e-08,5.65648507531003e-05,8.45588158868754
"205433_at",-5.90259155555554,10.616781060606,-11.6054532546443,8.81330146923665e-08,5.72990499807086e-05,8.42892148253056
"219954_s_at",-3.25702606666667,9.00249393939394,-11.5584489078056,9.21010902682931e-08,5.84403055980174e-05,8.38780072513376
"221474_at",1.16267044444447,13.2921721212121,11.5510621102252,9.2742006979446e-08,5.84403055980174e-05,8.38132204076413
"224156_x_at",-1.5301966,8.87860509090909,-11.4786762465766,9.92833411095647e-08,6.04712172434328e-05,8.31759671824338
"211441_x_at",-1.88974582222222,8.45028151515152,-11.4762275468235,9.95131496382997e-08,6.04712172434328e-05,8.31543340057055
"210888_s_at",-2.42826413333333,11.4721669090909,-11.4668966307611,1.0039412028012e-07,6.04712172434328e-05,8.30718538141274
"220432_s_at",-3.34488371111113,8.75395075757577,-11.2178404392978,1.27311076934709e-07,7.53619464428627e-05,8.08432982154874
"202351_at",3.04244961111111,9.96179669696969,11.2058031853557,1.28795533362641e-07,7.53619464428627e-05,8.0734253790659
"210986_s_at",3.21107133333334,10.8415185454545,11.1805965470429,1.31964863463163e-07,7.6128856937855e-05,8.05055055855491
"216308_x_at",-1.83438266666666,11.1046063636364,-11.1197580389927,1.39966006067426e-07,7.79914027065688e-05,7.99511420562637
"227794_at",-2.81897666666667,10.9240936363636,-11.1161192851485,1.40460850262999e-07,7.79914027065688e-05,7.991788393168
"220604_x_at",-2.73734239999998,9.99466012121211,-11.1128586404467,1.40905876615301e-07,7.79914027065688e-05,7.98880719449058
"232325_at",-3.66218255555553,9.92198045454544,-11.0896220220846,1.4412165665316e-07,7.8707719131424e-05,7.96753524177559
"202693_s_at",1.72923745555556,7.49749596969697,10.9961142622364,1.5788522140028e-07,8.50897471491327e-05,7.88145652572104
"224300_x_at",-2.7071154888889,10.2947068484849,-10.9732885049733,1.61455880872499e-07,8.5185472244897e-05,7.8603275228737
"202973_x_at",-2.41379448888888,10.5979129090909,-10.9504277296158,1.65119401552203e-07,8.5185472244897e-05,7.83911993405354
"206753_at",-2.83143359999999,10.9328747272727,-10.9439126986059,1.66179788987943e-07,8.5185472244897e-05,7.83306756151019
"222931_s_at",-1.3850556,7.36339327272727,-10.9426757811202,1.66381937537336e-07,8.5185472244897e-05,7.83191805716484
"211440_x_at",-1.6581682,8.45144818181818,-10.8589673464427,1.80697920887137e-07,9.13729153285956e-05,7.75380870187435
"205913_at",-1.37274617777778,8.53173224242424,-10.8000997462423,1.91558119323869e-07,9.51308255354552e-05,7.69850269245051
"218350_s_at",2.13300373333333,9.05576248484848,10.793730337077,1.92774689798159e-07,9.51308255354552e-05,7.69249991696311
"240422_at",-2.99077697777777,8.74555869696969,-10.7808439531782,1.95261551449563e-07,9.52109272121745e-05,7.68034407544567
"229310_at",1.23650404444444,7.67864484848485,10.7603342556057,1.99291156443435e-07,9.60325467854902e-05,7.66096607430605
